game_id,date,team1,team2,s1,s2,game1,round1,game2,round2,winner,venue
1976446,2021-12-03,Tasmania JackJumpers,Brisbane Bullets,83,74,1,1,1,1,1,MyState Bank Arena
1976447,2021-12-03,Perth Wildcats,Adelaide 36ers,85,73,1,1,1,1,1,RAC Arena
1976448,2021-12-04,South East Melbourne Phoenix,New Zealand Breakers,89,65,1,1,1,1,1,John Cain Arena
1976452,2021-12-05,Adelaide 36ers,Illawarra Hawks,71,81,2,1,1,1,2,Adelaide Entertainment Centre
1976454,2021-12-05,Sydney Kings,Melbourne United,79,74,1,1,1,1,1,Qudos Bank Arena
2004608,2021-12-05,Perth Wildcats,Cairns Taipans,90,67,2,1,1,1,1,RAC Arena
2004609,2021-12-12,Perth Wildcats,Brisbane Bullets,94,97,3,2,2,2,2,RAC Arena
1976449,2021-12-11,Sydney Kings,Illawarra Hawks,84,92,2,2,2,2,2,Qudos Bank Arena
1976451,2021-12-11,Cairns Taipans,Tasmania JackJumpers,69,62,2,2,3,2,1,Cairns Convention Centre
1976453,2021-12-12,Melbourne United,South East Melbourne Phoenix,86,94,2,2,3,2,2,John Cain Arena
1976455,2021-12-12,Adelaide 36ers,New Zealand Breakers,98,85,4,2,3,2,1,Adelaide Entertainment Centre
1976458,2021-12-10,South East Melbourne Phoenix,New Zealand Breakers,95,88,2,2,2,2,1,John Cain Arena
1976456,2021-12-09,Tasmania JackJumpers,Adelaide 36ers,80,83,2,2,3,2,2,MyState Bank Arena
1976457,2021-12-16,Melbourne United,Sydney Kings,89,47,3,3,3,3,1,John Cain Arena
1976459,2021-12-17,Illawarra Hawks,New Zealand Breakers,97,96,3,3,4,3,1,WIN Entertainment Centre
1976460,2021-12-17,Perth Wildcats,Brisbane Bullets,83,70,4,3,3,3,1,RAC Arena
1976461,2021-12-18,Sydney Kings,South East Melbourne Phoenix,84,73,4,3,4,3,1,Qudos Bank Arena
1976462,2021-12-18,Cairns Taipans,Adelaide 36ers,93,67,3,3,5,3,1,Cairns Convention Centre
1976463,2021-12-19,Melbourne United,New Zealand Breakers,83,60,4,3,5,3,1,John Cain Arena
1976464,2021-12-19,Brisbane Bullets,Illawarra Hawks,96,92,4,3,4,3,1,Nissan Arena
2004610,2021-12-19,Perth Wildcats,Tasmania JackJumpers,101,83,5,3,4,3,1,RAC Arena
1976465,2021-12-22,Sydney Kings,Tasmania JackJumpers,83,71,5,3,5,3,1,Qudos Bank Arena
1976468,2021-12-26,Tasmania JackJumpers,New Zealand Breakers,84,75,6,4,6,4,1,MyState Bank Arena
1976469,2021-12-26,Sydney Kings,Melbourne United,68,82,6,4,5,4,2,Qudos Bank Arena
1976474,2022-01-01,Tasmania JackJumpers,Melbourne United,72,76,7,5,6,5,2,MyState Bank Arena
1976473,2021-12-31,Cairns Taipans,Perth Wildcats,78,84,4,5,6,5,2,Cairns Convention Centre
1976482,2022-01-09,Brisbane Bullets,New Zealand Breakers,83,88,5,6,7,6,2,Nissan Arena
2036215,2022-01-13,Illawarra Hawks,Sydney Kings,97,89,5,7,7,7,1,WIN Entertainment Centre
2031329,2022-01-14,New Zealand Breakers,Melbourne United,78,89,8,7,7,7,2,MyState Bank Arena
2031330,2022-01-15,Brisbane Bullets,South East Melbourne Phoenix,100,84,6,7,5,7,1,Nissan Arena
2031332,2022-01-16,Illawarra Hawks,Melbourne United,84,88,6,7,8,7,2,WIN Entertainment Centre
2031333,2022-01-16,Sydney Kings,New Zealand Breakers,75,82,8,7,9,7,2,Qudos Bank Arena
2031334,2022-01-18,Adelaide 36ers,Perth Wildcats,87,74,6,7,7,7,1,Adelaide Entertainment Centre
2031335,2022-01-21,Brisbane Bullets,Sydney Kings,96,87,7,8,9,8,1,Nissan Arena
2031336,2022-01-22,Adelaide 36ers,Melbourne United,78,97,7,8,9,8,2,Adelaide Entertainment Centre
2031337,2022-01-22,Illawarra Hawks,Perth Wildcats,78,94,7,8,8,8,2,WIN Entertainment Centre
2031338,2022-01-23,Sydney Kings,Brisbane Bullets,97,73,10,8,8,8,1,Qudos Bank Arena
2031340,2022-01-23,Tasmania JackJumpers,South East Melbourne Phoenix,63,76,8,8,6,8,2,MyState Bank Arena
