gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier/0,subType,scoring,shirtNumber,qualifier/1,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,qualifier/2
00:00,00:00:00,73,76,-3,0,4,REGULAR,0,,1,game,776,,confirmed,end,0,,,,,,,,,,,,
00:00,00:00:00,73,76,-3,0,4,REGULAR,0,,1,period,775,,confirmed,end,0,,,,,,,,,,,,
00:05,00:05:10,73,76,-3,1,4,REGULAR,10,J. Lual-Acuil Jr,1,2pt,773,,fromturnover,dunk,1,0,pointsinthepaint,Jo,Lual-Acuil Jr,Jo,Lual-Acuil Jr,J,L,J,L,J. Lual-Acuil Jr,
00:06,00:06:80,71,76,-5,2,4,REGULAR,11,J. Adams,1,turnover,771,,,badpass,0,14,,Josh,Adams,Josh,Adams,J,A,J,A,J. Adams,
00:11,00:11:60,71,76,-5,2,4,REGULAR,14,M. McIntosh,1,rebound,769,768,,defensive,0,0,,Mikyle,Mcintosh,MiKyle,McIntosh,M,M,M,M,M. Mcintosh,
00:14,00:14:10,71,76,-5,1,4,REGULAR,9,Y. Baba,0,3pt,768,,,jumpshot,1,18,,Yudai,Baba,Yudai,Baba,Y,B,Y,B,Y. Baba,
00:19,00:19:20,71,76,-5,2,4,REGULAR,11,J. Adams,1,freethrow,766,,,2of2,1,14,,Josh,Adams,Josh,Adams,J,A,J,A,J. Adams,
00:19,00:19:20,71,75,-4,2,4,REGULAR,0,,1,rebound,765,764,,offensivedeadball,0,,,,,,,,,,,,
00:19,00:19:20,71,75,-4,2,4,REGULAR,11,J. Adams,0,freethrow,764,,,1of2,1,14,,Josh,Adams,Josh,Adams,J,A,J,A,J. Adams,
00:19,00:19:20,71,75,-4,2,4,REGULAR,2,C. Steindl,1,substitution,762,,,out,0,35,,Clint,Steindl,Clint,Steindl,C,S,C,S,C. Steindl,
00:19,00:19:20,71,75,-4,2,4,REGULAR,8,S. McDaniel,1,substitution,763,,,in,0,30,,Sam,Mcdaniel,Sam,McDaniel,S,M,S,M,S. Mcdaniel,
00:19,00:19:20,71,75,-4,2,4,REGULAR,11,J. Adams,1,foulon,761,760,,,0,14,,Josh,Adams,Josh,Adams,J,A,J,A,J. Adams,
00:19,00:19:20,71,75,-4,1,4,REGULAR,5,S. Ili,1,foul,760,,2freethrow,personal,0,51,,Shea,Ili,Shea,Ili,S,I,S,I,Shili_,
00:26,00:26:10,71,75,-4,1,4,REGULAR,6,J. White,1,freethrow,755,,2ndchance,1of1,1,14,fastbreak,Jack,White,Jack,White,J,W,J,W,J. White,
00:26,00:26:10,70,75,-5,2,4,REGULAR,8,S. McDaniel,1,substitution,753,,,out,0,30,,Sam,Mcdaniel,Sam,McDaniel,S,M,S,M,S. Mcdaniel,
00:26,00:26:10,70,75,-5,2,4,REGULAR,2,C. Steindl,1,substitution,754,,,in,0,35,,Clint,Steindl,Clint,Steindl,C,S,C,S,C. Steindl,
00:26,00:26:10,70,75,-5,1,4,REGULAR,6,J. White,1,foulon,752,751,,,0,14,,Jack,White,Jack,White,J,W,J,W,J. White,
00:26,00:26:10,70,75,-5,2,4,REGULAR,6,J. McVeigh,1,foul,751,,shooting,personal,0,9,1freethrow,Jack,Mcveigh,Jack,McVeigh,J,M,J,M,Jackmctrey1,
00:26,00:26:10,70,75,-5,1,4,REGULAR,6,J. White,1,2pt,750,,2ndchance,layup,1,14,pointsinthepaint,Jack,White,Jack,White,J,W,J,W,J. White,fastbreak
